"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-01",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-02",,,"0.01",,,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-03",,,"0.55",,,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-04",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-05",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-06",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-07",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-08",,,"0.85",,,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-09",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-10",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-11",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-12",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-13",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-14",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-15",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-16",,,"0.00","0.0",,,,
"US1TXWK0013","HUNTSVILLE 4.8 NNW, TX US","30.775136500597","-95.5834519118071","89.0","2023-01-17",,,"0.00",,,,,
