Tag_ID,Tiller_23,Inf_23,Spikelet_A,Spikelet_B,Spikelet_C,Spikelet_avg,Spikelet,Herb,Date,Survival_23,QAQC,Date
811,18,15,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
812,9,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
813,12,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
814,3,0,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
815,14,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
816,22,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
817,30,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
818,19,15,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
819,44,19,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
820,36,20,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
821,24,14,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
822,23,13,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
823,27,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
824,16,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
825,25,12,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
901,25,12,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
902,15,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
903,11,7,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
904,34,12,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
905,31,15,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
906,24,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
907,18,11,0,0,0,0,0,2,5/17/23,1,CO/KS,8/9/23
908,25,18,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
909,19,7,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
910,18,13,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
911,25,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
912,13,7,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
913,25,15,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
914,42,17,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
915,17,7,0,0,0,0,0,2,5/17/23,1,CO/KS,8/9/23
826,9,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
827,17,12,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
828,23,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
829,13,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
830,24,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
831,22,16,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
832,32,12,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
833,6,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
834,9,2,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
835,24,3,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
836,17,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
837,32,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
838,18,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
839,15,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
840,24,14,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
931,15,13,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
932,16,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
933,42,22,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
934,34,19,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
935,15,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
936,10,3,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
937,17,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
938,40,32,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
939,17,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
940,23,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
941,27,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
942,30,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
943,16,7,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
944,21,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
945,33,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
916,20,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
917,17,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
918,13,9,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
919,27,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
920,13,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
921,12,11,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
922,24,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
923,22,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
924,24,17,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
925,8,4,0,0,0,0,0,2,5/17/23,1,CO/KS,8/9/23
926,17,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
927,12,3,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
928,9,7,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
929,21,19,0,0,0,0,0,1,5/17/23,1,CO/KS,8/9/23
930,21,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
841,8,0,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
842,11,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
843,37,17,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
844,39,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
845,35,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
846,27,8,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
847,36,18,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
848,31,12,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
849,18,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
850,10,2,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
851,31,21,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
852,40,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
853,20,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
854,18,14,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
855,21,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
856,1,0,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
857,23,14,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
858,1,1,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
859,9,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
860,9,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
861,0,0,0,0,0,0,0,0,5/17/23,0,CO/KS,8/9/23
862,18,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
863,8,0,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
864,22,10,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
865,13,6,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
866,13,9,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
867,25,13,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
868,24,5,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
869,25,16,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
870,12,4,0,0,0,0,0,0,5/17/23,1,CO/KS,8/9/23
