Site,Species,Plot,Tag_ID,Population,GreenhouseID,Clone,Endo,Position,ini_Tiller
BAS,AGHY,4,941,LPEF,242-7-6V,DC,0,11,7
BAS,AGHY,4,942,SJC,42-3-27,NA,1,12,12
BAS,AGHY,4,943,LPEF,GH-35-3,BW,1,13,10
BAS,AGHY,4,944,LPEF,GH-35-1,AX,1,14,6
BAS,AGHY,4,945,SJC,42-3-35,NA,1,15,7
BAS,AGHY,5,916,COHR,35-1-44,NA,1,1,16
BAS,AGHY,5,917,COHR,35-1-25,AE,1,2,19
BAS,AGHY,5,918,COHR,215-2,BG,0,3,22
BAS,AGHY,5,919,SJC,42-3-26,NA,1,4,14
BAS,AGHY,5,920,LPEF,242-2-53,NA,0,5,9
BAS,AGHY,5,921,LPEF,GH-35-6,AP,1,6,9
BAS,AGHY,5,922,SJC,42-4-69,NA,0,7,12
BAS,AGHY,5,923,SJC,42-4-54,NA,0,8,12
BAS,AGHY,5,924,COHR,35-1-17,NA,1,9,25
BAS,AGHY,5,925,COHR,215-1-15,DP,0,10,5
BAS,AGHY,5,926,LPEF,242-7-6V,AC,0,11,6
BAS,AGHY,5,927,SJC,42-3-32,NA,1,12,20
BAS,AGHY,5,928,LPEF,GH-35-3,AB,1,13,5
BAS,AGHY,5,929,LPEF,GH-35-1,AM,1,14,16
BAS,AGHY,5,930,SJC,42-3-33,NA,1,15,11
BAS,AGHY,6,841,COHR,215-1-15,AQ2,0,1,2
BAS,AGHY,6,842,COHR,35-6-14,NA,1,2,10
BAS,AGHY,6,843,LPEF,242-5-23,NA,0,3,21
BAS,AGHY,6,844,LPEF,GH-35-3,BB,1,4,6
BAS,AGHY,6,845,SJC,42-3-65,NA,1,5,13
BAS,AGHY,6,846,SJC,42-4-97,NA,0,6,10
BAS,AGHY,6,847,LPEF,GH-35-8,AK,1,7,12
BAS,AGHY,6,848,SJC,42-4-36,NA,0,8,10
BAS,AGHY,6,849,SJC,42-4-90,NA,0,9,5
BAS,AGHY,6,850,LPEF,242-7-6V,DK,0,10,3
BAS,AGHY,6,851,LPEF,242-2-7,NA,0,11,15
BAS,AGHY,6,852,SJC,42-3-19,NA,1,12,7
BAS,AGHY,6,853,COHR,215-2,AR,0,13,19
BAS,AGHY,6,854,COHR,35-1-44,AH,1,14,11
BAS,AGHY,6,855,COHR,215-1-15,AO2,0,15,5
BAS,AGHY,7,856,COHR,35-6-19,AQ,1,1,1
BAS,AGHY,7,857,SJC,42-3-51,NA,1,2,16
BAS,AGHY,7,858,LPEF,GH-35-3,BR,1,3,10
BAS,AGHY,7,859,LPEF,GH-35-6,AX,1,4,6
BAS,AGHY,7,860,LPEF,242-7-6V,CY,0,5,5
BAS,AGHY,7,861,COHR,35-1-25,NA,1,6,6
BAS,AGHY,7,862,SJC,42-4-73,NA,0,7,9
BAS,AGHY,7,863,LPEF,242-7-6V,CX,0,8,3
BAS,AGHY,7,864,SJC,42-3-38,NA,1,9,8
BAS,AGHY,7,865,SJC,42-4-74,NA,0,10,9
BAS,AGHY,7,866,COHR,215-1-15,AR2,0,11,7
BAS,AGHY,7,867,COHR,215-2,BP,0,12,14
BAS,AGHY,7,868,COHR,215-1-15,AX2,0,13,4
BAS,AGHY,7,869,SJC,42-4-92,NA,0,14,10
BAS,AGHY,7,870,LPEF,242-7-6V,CW,0,15,6
BAS,AGHY,8,946,SJC,42-4-75,NA,0,1,8
BAS,AGHY,8,947,COHR,35-6-14,AG,1,2,4
BAS,AGHY,8,948,SJC,42-4-82,NA,0,3,9
BAS,AGHY,8,949,COHR,215-1-15,BQ2,0,4,8
BAS,AGHY,8,950,SJC,42-3-64,NA,1,5,5
BAS,AGHY,8,951,COHR,35-6-13,NA,0,6,9
BAS,AGHY,8,952,SJC,42-4-76,NA,0,7,4
BAS,AGHY,8,953,SJC,42-4-83,NA,0,8,7
BAS,AGHY,8,954,LPEF,242-7-6V,AT,0,9,4
BAS,AGHY,8,955,COHR,215-2,NA,0,10,15
BAS,AGHY,8,956,LPEF,242-7-6V,CB,0,11,6
BAS,AGHY,8,957,LPEF,242-7-6V,CZ,0,12,6
BAS,AGHY,8,958,LPEF,GH-35-3,BH,1,13,6
BAS,AGHY,8,959,COHR,215-1-15,BR2,0,14,26
BAS,AGHY,8,960,LPEF,242-7-6V,DE,0,15,5
BAS,ELVI,1,D_BAE1_1,JLP,109-19A-25,AO,1,1,3
BAS,ELVI,1,2021,PALM,G57,NA,0,2,3
BAS,ELVI,1,D_BAE1_3,JLP,110-5A-5O,NA,0,3,1
BAS,ELVI,1,2022,HUNT,F13,NA,0,4,3
BAS,ELVI,1,2023,JLP,110-5A-5N,NA,0,5,1
BAS,ELVI,1,2024,PALM,226,AK,1,6,7
BAS,ELVI,1,2025,PALM,H59,NA,0,7,5
BAS,ELVI,1,2026,RL5,D18,AA,0,8,7
BAS,ELVI,1,2027,PALM,239,AI,1,9,1
BAS,ELVI,1,2028,PALM,221,AI,1,10,8
BAS,ELVI,1,2029,RL5,C19,NA,0,11,3
BAS,ELVI,1,2030,RL5,D42,NA,1,12,7
BAS,ELVI,1,2031,PALM,225,AX,1,13,9
BAS,ELVI,1,2032,PALM,G42,NA,0,14,4
BAS,ELVI,1,2033,PALM,106,AE,0,15,3
BAS,ELVI,2,2034,PALM,106,AC,0,1,4
BAS,ELVI,2,2035,PALM,H52,NA,0,2,3
BAS,ELVI,2,2036,PALM,H31,NA,1,3,2
BAS,ELVI,2,2037,JLP,110-5A-4J,NA,0,4,3
BAS,ELVI,2,2038,SHS,106-36A-20,AH,1,5,4
BAS,ELVI,2,2039,PALM,B3,NA,0,6,4
BAS,ELVI,2,2040,JLP,110-5A-4B,NA,0,7,6
BAS,ELVI,2,2041,PALM,220-D,AD,0,8,9
BAS,ELVI,2,2042,HUNT,F5,NA,0,9,3
BAS,ELVI,2,2043,JLP,110-5A-4I,NA,0,10,8
BAS,ELVI,2,2044,RL5,C31,AA,0,11,6
BAS,ELVI,2,2045,JLP,110-2a-13-c,AF,1,12,3
BAS,ELVI,2,2046,JLP,110-5A-4L,NA,0,13,4
BAS,ELVI,2,2047,RL5,C22,NA,0,14,1
BAS,ELVI,2,2048,PALM,H38,NA,0,15,3
BAS,ELVI,3,2328,HUNT,F35,NA,0,1,1
BAS,ELVI,3,2329,PALM,216A,AD,1,2,2
BAS,ELVI,3,2330,PALM,110-5A-8,AR,1,3,1
BAS,ELVI,3,2331,PALM,238,AJ,1,4,1
BAS,ELVI,3,2332,RL5,C39,NA,0,5,9
BAS,ELVI,3,2333,PALM,221,AP,1,6,3
BAS,ELVI,3,2334,HUNT,E16,NA,1,7,1
BAS,ELVI,3,2335,JLP,110-5A-5W,NA,0,8,2
BAS,ELVI,3,2336,PALM,239,AH,1,9,4
BAS,ELVI,3,2337,JLP,110-2A-22,AE,1,10,10
BAS,ELVI,3,2338,PALM,H41,NA,1,11,6
BAS,ELVI,3,2339,PALM,221,AO,1,12,1
BAS,ELVI,3,2340,RL5,C61,NA,1,13,11
BAS,ELVI,3,2341,JLP,110-2A-13D,BB,1,14,2
BAS,ELVI,3,2342,PALM,238,AM,1,15,3
BAS,ELVI,4,2316,PALM,221,AR,1,1,2
BAS,ELVI,4,2317,PALM,221,AQ,1,2,7
BAS,ELVI,4,2318,PALM,220B,AD,1,3,9
BAS,ELVI,4,2319,JLP,110-5A-5X,NA,0,4,1
BAS,ELVI,4,2320,PALM,238,AK,1,5,2
BAS,ELVI,4,2321,SHS,106-150A-4B,AJ,1,6,3
BAS,ELVI,4,2322,JLP,109-19A-25,AN,1,7,3
BAS,ELVI,4,2323,PALM,110-5A-8,AU,1,8,1
BAS,ELVI,4,2324,PALM,238,AT,1,9,3
BAS,ELVI,4,2325,PALM,216A,AE,1,10,8
BAS,ELVI,4,D_BAE4_11,RL5,D35,AA,1,11,12
BAS,ELVI,4,2326,HUNT,F36,NA,0,12,2
BAS,ELVI,4,D_BAE4_13,JLP,110-44L-10,AJ,1,13,1
BAS,ELVI,4,2327,RL5,C59,AA,0,14,10
BAS,ELVI,4,D_BAE4_15,PALM,110-5A-8,AE,1,15,2
BAS,ELVI,5,2079,RL5,D17,NA,0,1,9
BAS,ELVI,5,2080,PALM,221,AL,1,2,6
BAS,ELVI,5,2081,SHS,106-36A-20,AG,1,3,4
BAS,ELVI,5,2082,PALM,220-D,AF,0,4,3
BAS,ELVI,5,2083,PALM,110-5A-8,AQ,1,5,7
BAS,ELVI,5,2100,PALM,221,AK,1,6,1
BAS,ELVI,5,2084,PALM,G12,NA,1,7,3
BAS,ELVI,5,2085,JLP,110-5A-5R,NA,0,8,3
BAS,ELVI,5,2086,JLP,110-2A-22,AH,1,9,2
BAS,ELVI,5,2087,RL5,D10,NA,1,10,1
BAS,ELVI,5,2088,PALM,H48,NA,0,11,5
BAS,ELVI,5,2089,HUNT,F28,NA,0,12,5
BAS,ELVI,5,2090,RL5,D17,AC,0,13,14
BAS,ELVI,5,2091,PALM,239,AK,1,14,2
BAS,ELVI,5,2092,PALM,216A,AB,1,15,4
BAS,ELVI,6,2064,RL5,D18,AB,0,1,9
BAS,ELVI,6,2065,PALM,H49,NA,0,2,4
BAS,ELVI,6,2066,PALM,239,AM,1,3,3
BAS,ELVI,6,2067,RL5,C60,NA,1,4,10
BAS,ELVI,6,2068,PALM,G43,NA,0,5,5
BAS,ELVI,6,2069,PALM,238,AF,1,6,2
BAS,ELVI,6,2070,JLP,110-5A-5P,NA,0,7,1
BAS,ELVI,6,2071,JLP,110-2A-13D,AR,1,8,1
BAS,ELVI,6,2072,HUNT,E26,NA,1,9,6
BAS,ELVI,6,2073,PALM,H44,NA,0,10,5
BAS,ELVI,6,2074,PALM,220-D,AE,0,11,6
BAS,ELVI,6,2075,RL5,D17,AA,0,12,10
BAS,ELVI,6,2076,JLP,110-5A-5Q,NA,0,13,2
BAS,ELVI,6,2077,HUNT,F27,NA,0,14,2
BAS,ELVI,6,2078,PALM,221,AJ,1,15,3
BAS,ELVI,7,2049,PALM,221,AM,1,1,2
BAS,ELVI,7,2050,PALM,238,AI,1,2,4
BAS,ELVI,7,2051,JLP,110-2A-13D,AD,1,3,3
BAS,ELVI,7,2052,JLP,110-5A-5U,NA,0,4,2
BAS,ELVI,7,2053,RL5,D37,NA,1,5,15
BAS,ELVI,7,2054,PALM,H42,NA,0,6,6
BAS,ELVI,7,2055,PALM,239,AL,1,7,3
BAS,ELVI,7,2056,PALM,G5,NA,0,8,5
BAS,ELVI,7,2057,HUNT,F29,NA,0,9,3
BAS,ELVI,7,2058,PALM,H45,NA,0,10,4
BAS,ELVI,7,2062,PALM,238,AG,1,11,3
BAS,ELVI,7,2059,PALM,221,AN,1,12,2
BAS,ELVI,7,2060,SHS,106-36A-20,AA,1,13,5
BAS,ELVI,7,2061,PALM,110-5A-8,AT,1,14,1
BAS,ELVI,7,2063,RL5,D17,AB,0,15,10
BAS,ELVI,8,2301,JLP,110-2A-21,AV,1,1,2
BAS,ELVI,8,2302,RL5,C66,NA,0,2,11
BAS,ELVI,8,2303,PALM,221,AG,1,3,4
BAS,ELVI,8,2304,PALM,H58,NA,0,4,4
BAS,ELVI,8,2305,JLP,110-5A-5F,NA,0,5,2
BAS,ELVI,8,2306,PALM,H39,NA,0,6,6
BAS,ELVI,8,2307,JLP,110-5A-5K,NA,0,7,3
BAS,ELVI,8,2308,PALM,G50,NA,0,8,5
BAS,ELVI,8,2309,PALM,H51,NA,0,9,6
BAS,ELVI,8,2310,RL5,D10,AA,0,10,12
BAS,ELVI,8,2311,HUNT,E30,NA,0,11,2
BAS,ELVI,8,2312,PALM,106,AG,0,12,3
BAS,ELVI,8,2313,JLP,110-5A-2Q,NA,0,13,3
BAS,ELVI,8,2314,RL5,C63,NA,1,14,11
BAS,ELVI,8,2315,JLP,110-5A-5M,NA,0,15,1
BAS,POAU,1,961,LA2,84-5C,BA,0,1,6
BAS,POAU,1,962,LA7,203-9A,AL,0,2,8
BAS,POAU,1,963,LA7,203-4B-1B,BG,1,3,7
BAS,POAU,1,964,SFAEF,1328,AN,0,4,10
BAS,POAU,1,965,LA7,203-9A,AJ,0,5,12
BAS,POAU,1,966,SFAEF,3,AI,1,6,12
BAS,POAU,1,967,SFAEF,712,AD,0,7,7
BAS,POAU,1,968,LA2,84-4G-4,BH,0,8,6
BAS,POAU,1,969,LA2,84-4G-4,BA,0,9,2
BAS,POAU,1,970,LA2,84-5C,BB,0,10,8
BAS,POAU,1,971,LA7,203-7A,AN,0,11,11
BAS,POAU,1,972,SFAEF,1335,BP,0,12,3
BAS,POAU,1,973,LA2,84-1L-3,BL,1,13,8
BAS,POAU,1,974,LA7,203-7A,AR,0,14,4
BAS,POAU,1,975,SFAEF,1245,AN,0,15,1
BAS,POAU,2,871,LA7,203-7A,AC,0,1,12
BAS,POAU,2,872,LA7,203-9A,AK,0,2,6
BAS,POAU,2,873,LA7,203-9A,AI,0,3,7
BAS,POAU,2,874,LA2,84-1L-3,AM,1,4,10
BAS,POAU,2,875,LA2,84-4G-4,AO,0,5,3
BAS,POAU,2,876,SFAEF,1328,AM,0,6,18
BAS,POAU,2,877,LA2,84-5C,BF,0,7,8
BAS,POAU,2,878,SFAEF,2,AE,1,8,9
BAS,POAU,2,879,SFAEF,712,AC,0,9,6
BAS,POAU,2,880,LA2,84-4G-4,AP,0,10,5
BAS,POAU,2,881,LA7,203-7A,AM,0,11,14
BAS,POAU,2,882,SFAEF,1245,AM,0,12,11
BAS,POAU,2,883,LA7,203-4B-1B,AL,1,13,10
BAS,POAU,2,884,LA2,84-5C,AU,0,14,5
BAS,POAU,2,885,SFAEF,1335,AY,0,15,1
BAS,POAU,3,886,SFAEF,616,BA,1,1,2
BAS,POAU,3,887,SFAEF,8B-12,NA,0,2,14
BAS,POAU,3,888,LA1,200-24A,BK,0,3,6
BAS,POAU,3,889,LA7,203-4B-1B,AP,1,4,7
BAS,POAU,3,890,LA2,84-5G-63,AA,1,5,10
BAS,POAU,3,891,SFAEF,B-35,NA,1,6,4
BAS,POAU,3,892,LA2,84-1L-3,BK,1,7,8
BAS,POAU,3,893,LA7,203-4B-1B,AH,1,8,5
BAS,POAU,3,894,LA2,84-5G-40,AZ,1,9,11
BAS,POAU,3,895,LA2,84-5C,CA,0,10,8
BAS,POAU,3,896,LA7,203-4B-1B,AI,1,11,7
BAS,POAU,3,897,LA2,84-1L-3,BV,1,12,6
BAS,POAU,3,898,SFAEF,616,BB,1,13,4
BAS,POAU,3,899,SFAEF,872,BB,1,14,8
BAS,POAU,3,900,SFAEF,B-36,NA,1,15,6
BAS,POAU,4,2701,LA2,84-1L-3,BM,1,1,3
BAS,POAU,4,2702,SFAEF,1245,AO,0,2,5
BAS,POAU,4,2703,LA2,84-5C,BE,0,3,8
BAS,POAU,4,2704,SFAEF,616,AE,1,4,12
BAS,POAU,4,2705,LA1,200-3C-4B,AN,0,5,6
BAS,POAU,4,2706,LA2,84-4G-4,BD,0,6,7
BAS,POAU,4,2707,LA1,201-30B-6,BF,1,7,4
BAS,POAU,4,2708,LA2,84-5G-76,D,1,8,24
BAS,POAU,4,2709,SFAEF,872,AG,1,9,1
BAS,POAU,4,2710,LA1,200-24A,AW,0,10,8
BAS,POAU,4,2711,SFAEF,1328,AO,0,11,11
BAS,POAU,4,2712,SFAEF,1335,BN,0,12,3
BAS,POAU,4,2713,LA1,201-30B-6,BE,1,13,10
BAS,POAU,4,2714,LA1,200-3C-4B,AP,0,14,6
BAS,POAU,4,2715,LA2,84-4G-4,BE,0,15,7
BAS,POAU,5,976,LA2,84-1L-3,BO,1,1,5
BAS,POAU,5,977,LA2,84-5C,BP,0,2,7
BAS,POAU,5,978,SFAEF,712,AK,0,3,5
BAS,POAU,5,979,LA2,84-5G-40,AE,1,4,7
BAS,POAU,5,980,LA1,200-24A,AN,0,5,6
BAS,POAU,5,981,SFAEF,616,BJ,1,6,14
BAS,POAU,5,982,LA2,84-4G-4,CE,0,7,4
BAS,POAU,5,983,LA7,203-4B-1B,BA,1,8,6
BAS,POAU,5,984,LA2,84-1L-3,BP,1,9,4
BAS,POAU,5,985,SFAEF,#2,NA,1,10,7
BAS,POAU,5,986,SFAEF,872,AY,1,11,5
BAS,POAU,5,987,LA1,200-3C-4B,AK,0,12,4
BAS,POAU,5,988,SFAEF,1335,BG,0,13,6
BAS,POAU,5,989,LA7,203-4B-1B,BF,1,14,9
BAS,POAU,5,990,LA1,201-30B-6,AS,1,15,5
BAS,POAU,6,2716,LA7,203-4B-1B,BE,1,1,9
BAS,POAU,6,2717,SFAEF,B-54,NA,1,2,3
BAS,POAU,6,2718,SFAEF,8B-11,NA,0,3,4
BAS,POAU,6,2719,LA2,84-5C,BZ,0,4,6
BAS,POAU,6,2720,SFAEF,872,BA,1,5,5
BAS,POAU,6,2721,LA2,84-1L-3,BU,1,6,6
BAS,POAU,6,2722,LA2,84-5G-40,AY,1,7,7
BAS,POAU,6,2723,LA2,84-5G-63,AB,1,8,18
BAS,POAU,6,2724,SFAEF,616,AD,1,9,6
BAS,POAU,6,2725,SFAEF,B-61,NA,1,10,5
BAS,POAU,6,2726,LA2,84-1L-3,BT,1,11,6
BAS,POAU,6,2727,LA7,203-4B-1B,AJ,1,12,11
BAS,POAU,6,2728,SFAEF,616,AE,1,13,6
BAS,POAU,6,2729,LA7,203-4B-1B,AK,1,14,6
BAS,POAU,6,2730,LA1,200-24A,BK,0,15,5
BAS,POAU,7,2006,LA2,84-1L-3,BR,1,1,6
BAS,POAU,7,2007,LA7,203-4B-1B,AY,1,2,6
BAS,POAU,7,2008,SFAEF,872,AZ,1,3,4
BAS,POAU,7,2009,LA2,84-1L-3,BS,1,4,5
BAS,POAU,7,2010,SFAEF,1335,BM,0,5,1
BAS,POAU,7,2011,LA2,84-4G-4,CF,0,6,4
BAS,POAU,7,2012,LA2,84-5G-40,BB,1,7,11
BAS,POAU,7,2013,LA7,203-4B-1B,AZ,1,8,7
BAS,POAU,7,2014,LA2,84-5C,BR,0,9,8
BAS,POAU,7,2015,LA1,200-3C-4B,BN,0,10,7
BAS,POAU,7,2016,LA1,200-24A,AS,0,11,8
BAS,POAU,7,2017,SFAEF,616,BP,1,12,5
BAS,POAU,7,2018,SFAEF,B-34,NA,1,13,7
BAS,POAU,7,2019,LA1,201-30B-6,AT,1,14,5
BAS,POAU,7,2020,SFAEF,712,AL,0,15,2
BAS,POAU,8,991,LA2,84-4G-4,BG,0,1,6
BAS,POAU,8,992,SFAEF,616,AF,1,2,9
BAS,POAU,8,993,LA1,200-24A,AX,0,3,5
BAS,POAU,8,994,SFAEF,1328,AP,0,4,9
BAS,POAU,8,D_BAP8_5,LA1,200-3C-4B,AX,0,5,7
BAS,POAU,8,995,LA1,201-30B-6,AY,1,6,4
BAS,POAU,8,996,LA1,201-30B-6,AV,1,7,5
BAS,POAU,8,997,SFAEF,1335,BH,0,8,5
BAS,POAU,8,998,LA1,200-24A,BB,0,9,7
BAS,POAU,8,999,LA2,84-1L-3,AP,1,10,9
BAS,POAU,8,2001,LA2,84-5G-40,AG,1,11,6
BAS,POAU,8,2002,SFAEF,872,AH,1,12,6
BAS,POAU,8,2003,SFAEF,1245,AR,0,13,9
BAS,POAU,8,2004,LA2,84-5C,BG,0,14,5
BAS,POAU,8,2005,LA2,84-4G-4,BF,0,15,8
BFL,AGHY,1,70,LPEF,GH-35-8,AZ,1,1,14
BFL,AGHY,1,71,COHR,215-1-15,CO,0,2,7
BFL,AGHY,1,72,COHR,35-1-33,AF,1,3,8
BFL,AGHY,1,73,SJC,42-4-56,NA,0,4,5
BFL,AGHY,1,74,COHR,35-1-31,AA,1,5,14
BFL,AGHY,1,75,SJC,42-3-2,NA,1,6,7
BFL,AGHY,1,76,SJC,42-4-64,NA,0,7,9
BFL,AGHY,1,77,COHR,215-1-15,BU,0,8,8
BFL,AGHY,1,78,LPEF,242-2-27,AA,0,9,8
BFL,AGHY,1,79,LPEF,242-2-54,NA,0,10,35
BFL,AGHY,1,80,SJC,42-4-58,NA,0,11,4
BFL,AGHY,1,81,LPEF,GH-35-6,BA,1,12,9
BFL,AGHY,1,82,SJC,42-3-10,NA,1,13,8
BFL,AGHY,1,83,COHR,35-1-2,AB,0,14,15
BFL,AGHY,1,84,LPEF,242-2-43,AA,0,15,24
BFL,AGHY,2,85,COHR,215-1-15,BZ,0,1,9
BFL,AGHY,2,86,LPEF,242-5-20,NA,0,2,20
BFL,AGHY,2,87,LPEF,242-2-52,NA,0,3,16
BFL,AGHY,2,88,LPEF,242-5-18,NA,0,4,12
BFL,AGHY,2,89,SJC,42-4-80,NA,0,5,5
BFL,AGHY,2,90,COHR,215-1-15,CA,0,6,6
BFL,AGHY,2,91,SJC,42-4-39,NA,0,7,9
BFL,AGHY,2,92,LPEF,GH-35-6,AY,1,8,5
BFL,AGHY,2,93,SJC,42-3-3,NA,1,9,8
BFL,AGHY,2,94,SJC,42-4-65,NA,0,10,6
BFL,AGHY,2,95,COHR,35-1-45,NA,0,11,12
BFL,AGHY,2,96,COHR,35-1-45,AA,0,12,20
BFL,AGHY,2,97,SJC,42-4-79,NA,0,13,6
BFL,AGHY,2,98,LPEF,242-2-47,NA,0,14,15
BFL,AGHY,2,99,COHR,26-8-1,AG,1,15,6
BFL,AGHY,3,160,COHR,35-1-2,AC,0,1,19
BFL,AGHY,3,161,SJC,42-3-57,NA,1,2,10
BFL,AGHY,3,162,LPEF,242-5-19,NA,0,3,16
BFL,AGHY,3,163,SJC,42-4-41,NA,0,4,8
BFL,AGHY,3,164,COHR,35-1-2,NA,0,5,20
BFL,AGHY,3,165,LPEF,GH-35-6,AZ,1,6,10
BFL,AGHY,3,166,COHR,215-1-15,CB,0,7,10
BFL,AGHY,3,167,LPEF,242-2-55,NA,0,8,10
BFL,AGHY,3,168,SJC,42-4-55,NA,0,9,11
BFL,AGHY,3,169,SJC,42-4-3,NA,0,10,5
BFL,AGHY,3,170,LPEF,242-2-21,NA,0,11,13
BFL,AGHY,3,171,LPEF,242-5-16,NA,0,12,15
BFL,AGHY,3,172,COHR,215-2-1,AF,0,13,19
BFL,AGHY,3,173,SJC,42-4-62,NA,0,14,11
BFL,AGHY,3,174,COHR,35-1-15,AI,1,15,6
BFL,AGHY,4,190,LPEF,GH-35-8,AG,1,1,9
BFL,AGHY,4,191,SJC,42-4-40,NA,0,2,10
BFL,AGHY,4,192,COHR,35-1-15,AK,1,3,7
BFL,AGHY,4,193,SJC,42-4-37,NA,1,4,7
BFL,AGHY,4,194,COHR,215-1-15,BR,0,5,4
BFL,AGHY,4,195,SJC,42-4-33,NA,0,6,7
BFL,AGHY,4,196,LPEF,28-1-3,NA,1,7,4
BFL,AGHY,4,197,SJC,42-3-36,NA,1,8,3
BFL,AGHY,4,198,COHR,35-1-31,AC,1,9,9
BFL,AGHY,4,199,LPEF,242-2-21,AA,0,10,11
BFL,AGHY,4,200,COHR,215-2-1,AS,0,11,13
BFL,AGHY,4,201,LPEF,242-2-19,NA,0,12,9
BFL,AGHY,4,202,SJC,42-3-22,NA,1,13,9
BFL,AGHY,4,203,LPEF,28-1-4,NA,1,14,3
BFL,AGHY,4,204,COHR,35-6-19,AO,1,15,5
BFL,AGHY,5,205,LPEF,242-2-43,NA,0,1,12
BFL,AGHY,5,206,COHR,35-1-33,AD,1,2,8
BFL,AGHY,5,207,SJC,42-3-59,NA,1,3,14
BFL,AGHY,5,208,COHR,26-8-1,AH,1,4,5
BFL,AGHY,5,209,COHR,35-1-31,NA,1,5,10
BFL,AGHY,5,210,SJC,42-3-15,NA,1,6,7
BFL,AGHY,5,211,LPEF,GH-35-6,AO,1,7,8
BFL,AGHY,5,212,LPEF,GH-35-3,AA,1,8,5
BFL,AGHY,5,213,COHR,35-6-19,AD,1,9,4
BFL,AGHY,5,214,COHR,215-1-15,BT,0,10,15
BFL,AGHY,5,215,SJC,42-4-38,NA,0,11,3
BFL,AGHY,5,216,LPEF,GH-35-6,AQ,1,12,8
BFL,AGHY,5,217,COHR,35-1-31,AD,1,13,11
BFL,AGHY,5,218,SJC,42-3-8,NA,1,14,5
